lon,lat
-5.383333333333332860e+01,4.486212352422813154e+01
-5.383333333333332860e+01,5.584660308035616794e+01
-5.372733096175013401e+01,5.974423888609246092e+01
-5.371369843859324078e+01,5.990584335228609092e+01
-5.383333333333332860e+01,4.486212352422813154e+01
-5.374009198866087189e+01,5.958204669397144215e+01
-5.375199223708486329e+01,5.941927599408248284e+01
-5.371369843859324078e+01,5.990584335228609092e+01
-5.365022382715287108e+01,6.054620268495155244e+01
-5.378262914397149075e+01,5.892758627965793750e+01
-5.377325114867611688e+01,5.909203636273719695e+01
-5.383333333333332860e+01,4.508203834542684518e+01
-5.366745821567311481e+01,6.038703953043214057e+01
-5.375199223708486329e+01,5.941927599408248284e+01
-5.369918327041619222e+01,6.006685096118903289e+01
-5.376304199945833773e+01,5.925593608888139130e+01
-5.383333333333332860e+01,5.584660308035616794e+01
-5.366745821567311481e+01,6.038703953043214057e+01
-5.368377387188780148e+01,6.022725267064586063e+01
-5.350000000000000000e+01,4.508203834542685939e+01
-5.350000000000001421e+01,5.584660308035618215e+01
-5.350000000000000000e+01,4.508203834542685939e+01
-5.350000000000000000e+01,4.508203834542685939e+01
-5.316666666666667851e+01,4.508203834542685939e+01
-5.316666666666667851e+01,5.566654143271501454e+01
-5.316666666666667851e+01,4.530119160877796958e+01
-5.316666666666667851e+01,4.530119160877796958e+01
-5.316666666666667851e+01,4.530119160877796958e+01
-5.316666666666667851e+01,5.566654143271501454e+01
-5.316666666666667851e+01,4.530119160877796958e+01
-5.283333333333334281e+01,5.548577728341219029e+01
-5.283333333333334281e+01,5.530430893457649688e+01
-5.283333333333334281e+01,5.530430893457649688e+01
-5.250000000000000000e+01,5.530430893457649688e+01
-5.216666666666667140e+01,5.512213470389235681e+01
-5.216666666666667140e+01,5.512213470389235681e+01
-5.183333333333332860e+01,5.438634588126387115e+01
